Column,Example
optionC,UHF
optionD,BNC
correctOption,B
explanation,"N is correct because Type N connectors were specifically designed for weather resistance and consistent 50-ohm performance at higher frequencies, making them suitable for outdoor use. Memory Trick: “N for ‘Nice in the rain’.”"
BankQuestionID,B-006-003-006
,
question,What type of RF connector is commonly used for low-power transceivers and test instruments?
optionA,UHF
optionB,RCA
optionC,BNC
optionD,N
correctOption,C
explanation,"BNC is correct because BNC bayonet connectors are standard on many low-power radios, oscilloscopes, and RF test gear due to their quick-connect action and good high-frequency performance. Memory Trick: “Bench gear = BNC.”"
BankQuestionID,B-006-003-007
,
question,Why should you regularly clean and tighten all antenna connectors?
optionA,To minimize dielectric losses
optionB,To maintain lightning protection
optionC,To prevent static electricity buildup
optionD,To help keep their contact resistance at a minimum
correctOption,D
explanation,"To help keep their contact resistance at a minimum is correct because dirt, oxidation, or loose fittings increase resistance, causing heating, loss, and possible intermittent faults. Memory Trick: Bright, tight connectors = better signals."
BankQuestionID,B-006-003-008
,
question,What type of coaxial outer conductor offers the best shielding?
optionA,Solid shield
optionB,Aluminum foil
optionC,Single braided shield
optionD,Double braided shield
correctOption,A
explanation,Solid shield is correct because a continuous metal tube provides the highest isolation from external RF fields. Braids and foil have gaps or imperfections that reduce shielding effectiveness. Memory Trick: “Solid = sealed = strongest shield.”
BankQuestionID,B-006-003-009
,
question,"If your location is frequently affected by icing conditions, which type of transmission line would be the most suitable?"
optionA,Twin-lead
optionB,Coaxial cable
optionC,Open-wire line
optionD,Window line
correctOption,B
explanation,"Coaxial cable is correct because ice buildup severely detunes and loads open-wire, twin-lead, and window line. Coax is enclosed and protected from environmental changes. Memory Trick: “Ice likes wires — but coax is inside a coat.”"
BankQuestionID,B-006-003-010
,
question,What is the primary advantage of choosing a coaxial cable with a foam dielectric instead of a solid dielectric?
optionA,Lower velocity factor
optionB,Better mechanical stability
optionC,Lower loss
optionD,Higher power handling
correctOption,C
explanation,"Lower loss is correct because foam dielectric has a lower dielectric constant, reducing RF loss. However, foam is less mechanically stable than solid dielectric. Memory Trick: “Foam = fluffy = fewer losses.”"
BankQuestionID,B-006-003-011
,
question,What is the major adverse consequence of using RG-58 coaxial cable for a transmission line operating on the 70 cm band?
optionA,Excess reflections at the antenna feed point
optionB,Excess RF radiation from the transmission line
optionC,Excess transmission line heating
optionD,Excess RF loss in the transmission line
correctOption,D
explanation,Excess RF loss is correct because RG-58 has significantly higher loss at UHF frequencies like 70 cm compared to larger-diameter coax such as RG-213. Memory Trick: “Small coax + high frequency = big loss.”
BankQuestionID,B-006-004-001
,
question,What is the major advantage of open-wire transmission line?
optionA,It can be operated at high SWR without excessive loss
optionB,It can be located near metal objects without problems
optionC,"It has low impedance, which facilitates matching to a transceiver"
optionD,It does not radiate RF energy
correctOption,A
explanation,"Open-wire line is extremely low loss, even with high SWR, unlike coax which suffers large losses when mismatched. Memory Trick: “Open-wire doesn’t care — SWR anywhere.”"
BankQuestionID,B-006-004-002
,
question,"If your transmitter and antenna are 15 metres apart, but are connected by 60 metres of RG-58 coaxial cable, what should be done to reduce transmission line loss?"
optionA,Install a low-pass filter at the transceiver
optionB,Shorten the excess cable
optionC,Install a balun at the antenna feed point
optionD,Roll the excess cable into a coil
correctOption,B
explanation,Shortening the excess cable is correct because transmission line loss is directly proportional to line length. Coiling the excess or adding components does nothing for loss. Memory Trick: “Shorter cable = stronger signal.”
BankQuestionID,B-006-004-003
,
question,"As the length of a transmission line is changed, what happens to signal loss?"
optionA,Signal loss is least when the line equals 1 wavelength
optionB,Signal loss is the same for any length
optionC,Signal loss increases as the length increases
optionD,Signal loss decreases as the length increases
correctOption,C
explanation,Loss increases with length because more conductor and dielectric means more attenuation. Memory Trick: “More line = more loss.”
BankQuestionID,B-006-004-004
,
question,"As the frequency of a signal is changed, what happens to signal loss in a transmission line?"
optionA,Signal loss increases with decreasing frequency
optionB,Signal loss increases as the square of frequency
optionC,Signal loss is the same for any frequency
optionD,Signal loss increases with increasing frequency
correctOption,D
explanation,Loss rises with frequency due to skin effect and dielectric loss. Memory Trick: “Higher frequency = higher friction.”
BankQuestionID,B-006-004-005
,
question,"Assuming the same transmitter and RF output power are used, what is the effect of changing the transmission line from RG-213 coaxial cable to RG-58?"
optionA,Less RF power is radiated from the antenna
optionB,More RF power is radiated from the antenna
optionC,SWR at the antenna increases
optionD,SWR at the antenna decreases
correctOption,A
explanation,Less power reaches the antenna because RG-58 has higher attenuation than RG-213. SWR is unchanged because mismatch is independent of coax type. Memory Trick: “Thinner cable = thinner signal.”
BankQuestionID,B-006-004-006
,
question,The lowest loss transmission line on HF is:
optionA,300-ohm twin-lead
optionB,open-wire line
optionC,75-ohm twin-lead
optionD,coaxial cable
correctOption,B
explanation,Open-wire has the lowest HF loss because most of its dielectric is air. Memory Trick: “Air is the best insulator — and the best at keeping loss low.”
BankQuestionID,B-006-004-007
,
question,In what values are RF transmission line losses expressed?
optionA,Decibel per MHz
optionB,Ohms per metre
optionC,Decibel per unit length
optionD,Ohms per MHz
correctOption,C
explanation,"Transmission line loss is specified in dB per 100 ft, per metre, etc. Memory Trick: “Loss comes in dB — always.”"
BankQuestionID,B-006-004-008
,
question,"If the length of a coaxial transmission line is increased from 20 m to 40 m, how would this affect the line loss?"
optionA,It would be increased by 50%
optionB,It would be increased by 10%
optionC,It would be increased by 20%
optionD,It would be increased by 100%
correctOption,D
explanation,Doubling the line length doubles the loss — a 100% increase. Memory Trick: “Double the cable = double the loss.”
BankQuestionID,B-006-004-009
,
question,"If the operating frequency is increased, how does the transmission line loss change?"
optionA,"Loss increases, due to internal line losses"
optionB,"Loss increases, due to increased wave velocity"
optionC,"Loss decreases, due to skin effect"
optionD,"Loss decreases, due to decreased SWR"
correctOption,A
explanation,"Loss increases with frequency due to increased conductor and dielectric losses, especially from the skin effect. Memory Trick: “Higher frequency = hotter cable.”"
BankQuestionID,B-006-004-010
,
question,What does an SWR reading of 1:1 mean?
optionA,An antenna tuner is needed
optionB,The best impedance match has been attained
optionC,Reflected power equals forward power
optionD,An impedance transformer is needed
correctOption,B
explanation,"A 1:1 SWR means full match, with no reflected power. Memory Trick: “1:1 = perfect one-to-one.”"
BankQuestionID,B-006-005-001
,
question,What does an SWR reading of less than 1.5:1 mean?
optionA,A serious mismatch
optionB,An antenna gain of 1.5
optionC,A fairly good impedance match
optionD,An impedance match that is too low
correctOption,C
explanation,Less than 1.5:1 is considered acceptable on almost all amateur bands. Memory Trick: “Under 1.5 — you're alive.”
BankQuestionID,B-006-005-002
,
question,What is the most likely cause of erratic readings on an SWR meter?
optionA,Transmitting into the wrong antenna
optionB,Interference from power lines
optionC,Lack of a balun
optionD,Intermittent connection in the antenna system
correctOption,D
explanation,"Intermittent opens or shorts, especially in connectors, cause unstable readings. Memory Trick: “If SWR jumps, a connection bumps.”"
BankQuestionID,B-006-005-003
,
question,Which of the following can cause a high SWR reading?
optionA,An open or short circuit in the antenna system
optionB,Grounding the shield at the building entrance
optionC,Using a very long transmission line
optionD,Replacing RG-213 with RG-58
correctOption,A
explanation,"High SWR results from mismatch conditions like opens, shorts, or severe detuning. Memory Trick: “Open or short = SWR abort.”"
BankQuestionID,B-006-005-004
,
question,What is the main adverse effect due to operating with high SWR?
optionA,Increased common-mode current
optionB,Increased transmission line loss
optionC,Increased receive noise
optionD,Increased radiation from the line
correctOption,B
explanation,"High SWR creates large standing waves, increasing loss especially in coax. Memory Trick: “High SWR cooks coax.”"
BankQuestionID,B-006-005-005
,
question,What instrument is useful in adjusting the physical length of an antenna?
optionA,Capacitance meter
optionB,Frequency meter
optionC,Antenna analyzer
optionD,Multimeter
correctOption,C
explanation,"An antenna analyzer shows SWR, resonance, and impedance while tuning antenna length. Memory Trick: “If you want to tune it — analyze it.”"
BankQuestionID,B-006-005-006
,
question,If the characteristic impedance of the transmission line does not match the antenna input impedance then:
optionA,heat is produced at the junction
optionB,the SWR reading falls to 1:1
optionC,the antenna will not radiate
optionD,standing waves are produced in the transmission line
correctOption,D
explanation,"Mismatch causes reflections, creating standing waves along the line. Memory Trick: “Mismatch = waves standing like soldiers.”"
BankQuestionID,B-006-005-007
,
question,The result of the presence of standing waves on a transmission line is:
optionA,reduced transfer of RF energy to the antenna
optionB,perfect impedance match between transmitter and transmission line
optionC,maximum transfer of energy to the antenna from the transmitter
optionD,lack of radiation from the transmission line
correctOption,A
explanation,reduced transfer of RF energy to the antenna is correct because standing waves mean some of the power is being reflected back toward the transmitter instead of being delivered to the load. Memory Trick: “SWR standing tall = less power overall.”
BankQuestionID,B-006-005-008
,
question,What does an SWR meter measure to determine the SWR?
optionA,Common-mode current
optionB,Forward and reflected voltage
optionC,Radiated RF energy
optionD,Conductor temperature
correctOption,B
explanation,Forward and reflected voltage is correct because SWR is derived from the ratio of forward to reflected waves on the line. Memory Trick: “SWR cares about two voltages: forward vs. back.”
BankQuestionID,B-006-005-009
,
question,What information can be obtained with an antenna analyzer?
optionA,Gain of the antenna
optionB,Front-to-back ratio of the antenna
optionC,SWR of the antenna system over a range of frequencies
optionD,Radiation pattern of the antenna
correctOption,C
explanation,SWR of the antenna system over a range of frequencies is correct because an antenna analyzer sweeps frequency and shows where the system is well matched. Memory Trick: “Analyzer = SWR vs. frequency on a screen.”
BankQuestionID,B-006-005-010
,
question,What is the effect of line loss on the SWR reading at the station?
optionA,"It decreases the SWR, because less power reaches the antenna"
optionB,"It has no effect, because SWR compares voltages"
optionC,"It has no effect, because forward and reflected power are both affected"
optionD,"It decreases the SWR, because reflected energy is attenuated"
correctOption,D
explanation,"It decreases the SWR, because reflected energy is attenuated is correct: losses in the line eat part of the reflected wave before it returns to the meter, making the measured SWR look better than it really is. Memory Trick: “Loss hides reflections.”"
BankQuestionID,B-006-005-011
,
question,Which of the following antenna system conditions will cause a modern solid-state HF transceiver to automatically reduce power?
optionA,Excessive impedance mismatch between transceiver and transmission line
optionB,Transmitting to a balanced antenna with an unbalanced transmission line
optionC,Open circuit in lightning surge protector ground connection
optionD,Excessive antenna element movement in high winds
correctOption,A
explanation,Excessive impedance mismatch between transceiver and transmission line is correct because high SWR causes internal protection circuits to reduce power to protect the PA transistors. Memory Trick: “High SWR = radio backs off.”
BankQuestionID,B-006-006-001
,
question,What does an antenna tuner do?
optionA,It switches multiple transceivers to a common transmission line and antenna
optionB,It matches a transceiver to a mismatched antenna system
optionC,It helps a receiver automatically tune in stations that are far away
optionD,"It switches an antenna system to a transmitter when sending, and to a receiver when listening"
correctOption,B
explanation,It matches a transceiver to a mismatched antenna system is correct because the tuner transforms impedance so the radio sees something close to 50 ohms. Memory Trick: “Tuner doesn’t tune the antenna — it tunes what the radio sees.”
BankQuestionID,B-006-006-002
,
question,An end-fed half-wave antenna (EFHW) has a very high feed point impedance. What device could be used to provide a good match to 50-ohm coaxial cable?
optionA,A counterpoise
optionB,A good ground on the coax shield
optionC,A transformer
optionD,A quarter-wave stub
correctOption,C
explanation,"A transformer is correct because an EFHW can have an impedance in the kilo-ohm range, and a step-down RF transformer can convert that high impedance to about 50 ohms. Memory Trick: “End-fed = extreme ohms = needs a transformer.”"
BankQuestionID,B-006-006-003
,
question,"If both source and load impedances are purely resistive, what value of load impedance will result in maximum power delivery to the load?"
optionA,Load impedance equal to half of the source impedance
optionB,Load impedance equal to twice the source impedance
optionC,Load impedance equal to the square root of source impedance
optionD,Load impedance equal to the source impedance
correctOption,D
explanation,Load impedance equal to the source impedance is correct because the maximum power transfer theorem says maximum power flows when source and load resistances are equal. Memory Trick: “Match R to R for max power.”
BankQuestionID,B-006-006-004
,
question,"What is the advantage of locating an antenna tuner near the antenna feed point, over locating it near the transceiver?"
optionA,Less transmission line loss
optionB,More harmonic suppression
optionC,Less atmospheric noise pickup
optionD,More usable bandwidth
correctOption,A
explanation,"Less transmission line loss is correct because the tuner transforms the mismatch right at the antenna, so the line between tuner and rig sees a near-perfect 50-ohm match and therefore less loss. Memory Trick: “Fix the mismatch first, then run the cable.”"
BankQuestionID,B-006-006-005
,
question,How does an antenna tuner compensate for an impedance mismatch in an antenna system?
optionA,By adjusting the resonant frequency of the antenna
optionB,By adding capacitive or inductive reactance
optionC,By diverting reflections to a dummy load
optionD,By increasing the conductance of the transmission line
correctOption,B
explanation,By adding capacitive or inductive reactance is correct because the tuner is essentially an adjustable LC network that transforms one impedance into another. Memory Trick: “Tuner = adjustable L and C.”
BankQuestionID,B-006-006-006
,
question,What advantage does a transformer present when used for impedance matching at radio frequencies?
optionA,It provides constant voltage to the load
optionB,It isolates the source from reflections
optionC,It can be designed to do so over a wide bandwidth
optionD,It supports larger power than reactive components
correctOption,C
explanation,It can be designed to do so over a wide bandwidth is correct because broadband RF transformers can provide relatively flat matching over a large frequency range. Memory Trick: “Transformer = wideband match in one block.”
BankQuestionID,B-006-006-007
,
question,Where does impedance matching need to be done to minimize transmission line losses in an antenna system?
optionA,At the junction between the transmitter and the transmission line
optionB,Anywhere along the transmission line
optionC,At a quarter wavelength from the transmitter
optionD,At the junction between the transmission line and antenna
correctOption,D
explanation,"At the junction between the transmission line and antenna is correct because matching at the antenna prevents large standing waves (and extra loss) along the feed line. Memory Trick: “Match at the feedpoint, save the feedline.”"
BankQuestionID,B-006-006-008
,
question,"If an antenna is correctly matched to a transmission line, the length of the transmission line:"
optionA,will have no effect on the matching
optionB,must be a full wavelength long
optionC,must be an odd number of quarter-wavelengths
optionD,must be an even number of half-wavelengths
correctOption,A
explanation,"Will have no effect on the matching is correct because with a perfect match, no standing waves exist and the impedance is the same at all points along a lossless line. Memory Trick: “Perfectly matched? Line length doesn’t matter.”"
BankQuestionID,B-006-006-009
,
question,Why is an antenna tuner (external or internal) frequently used with modern solid-state transceivers?
optionA,It absorbs the reflected energy from a mismatched antenna system
optionB,It enables the transceivers to deliver rated power to a mismatched antenna system
optionC,It reduces losses in the line to the antenna
optionD,It reduces common-mode noise pickup
correctOption,B
explanation,"It enables the transceivers to deliver rated power is correct because the tuner “hides” mismatch from the radio, keeping SWR at the radio’s output low enough that protection circuits don’t reduce power. Memory Trick: “Tuner keeps the rig happy, even if the antenna isn’t.”"
BankQuestionID,B-006-006-010
,
question,"If a transmission line with a characteristic impedance of 50 ohms feeds a folded dipole with a feed point impedance close to 300 ohms, what impedance transformation ratio is needed to match the two?"
optionA,4:01
optionB,9:01
optionC,6:01
optionD,2:01
correctOption,C
explanation,"6:1 is correct because 300 Ω ÷ 50 Ω = 6, so you need a 6:1 impedance step-down from antenna to line (or 1:6 step-up the other way). Memory Trick: “300 to 50 — divide by 6, nice and nifty.”"
BankQuestionID,B-006-006-011
,
question,What does horizontal wave polarization mean?
optionA,The electric and magnetic lines of force of a radio wave are perpendicular to the Earth's surface
optionB,The electric lines of force of a radio wave are perpendicular to the Earth's surface
optionC,The magnetic lines of force of a radio wave are parallel to the Earth's surface
optionD,The electric lines of force of a radio wave are parallel to the Earth's surface
correctOption,D
explanation,The electric lines of force parallel to the Earth's surface is correct because polarization is defined by the orientation of the electric field. Memory Trick: “Horizontal = E-field lying flat like the horizon.”
BankQuestionID,B-006-007-001
,
question,What does vertical wave polarization mean?
optionA,The electric lines of force of a radio wave are perpendicular to the Earth's surface
optionB,The magnetic lines of force of a radio wave are perpendicular to the Earth's surface
optionC,The electric and magnetic lines of force of a radio wave are parallel to the Earth's surface
optionD,The electric lines of force of a radio wave are parallel to the Earth's surface
correctOption,A
explanation,"The electric lines of force perpendicular to the Earth's surface is correct because again, polarization tracks the electric field. Memory Trick: “Vertical = E-field standing upright.”"
BankQuestionID,B-006-007-002
,
question,What electromagnetic wave polarization does a Yagi antenna have when its elements are parallel to the Earth's surface?
optionA,Circular
optionB,Horizontal
optionC,Elliptical
optionD,Vertical
correctOption,B
explanation,"Horizontal is correct because a Yagi’s polarization follows the orientation of its elements, which in this case are parallel to the ground. Memory Trick: “Elements lie flat = horizontal RF hat.”"
BankQuestionID,B-006-007-003
,
question,What electromagnetic wave polarization does a half-wavelength antenna have when it is perpendicular to the Earth's surface?
optionA,Horizontal
optionB,Elliptical
optionC,Vertical
optionD,Circular
correctOption,C
explanation,Vertical is correct because a half-wave radiator standing straight up has its electric field oriented vertically. Memory Trick: “Whip standing tall = vertical for all.”
BankQuestionID,B-006-007-004
,
question,Polarization of an antenna is determined by:
optionA,the orientation of the electric field relative to the transmission line
optionB,the orientation of the magnetic field relative to the Earth's surface
optionC,the orientation of the electric field relative to the magnetic field
optionD,the orientation of the electric field relative to the Earth's surface
correctOption,D
explanation,"The orientation of the electric field relative to the Earth's surface is correct because by definition, polarization is referenced to the E-field, not the H-field. Memory Trick: “Polarization = position of the E-field.”"
BankQuestionID,B-006-007-005
,
question,An isotropic antenna is:
optionA,a hypothetical point source
optionB,an infinitely long piece of wire
optionC,a dummy load
optionD,a half-wave reference dipole
correctOption,A
explanation,A hypothetical point source is correct because an isotropic radiator is an idealized antenna used as a reference for comparing gain. Memory Trick: Picture a perfect point glowing equally in all directions.
BankQuestionID,B-006-007-006
,
question,What is the three-dimensional radiation pattern of an isotropic radiator?
optionA,A hemisphere
optionB,A sphere
optionC,A torus (donut shape)
optionD,A cardioid
correctOption,B
explanation,A sphere is correct because an isotropic radiator emits equally in all directions. Memory Trick: Think “isotropic = sphere-tropic.”
BankQuestionID,B-006-007-007
,
question,VHF signals from a mobile station using a vertical whip antenna will normally be best received using a:
optionA,horizontal ground-plane antenna
optionB,horizontal dipole antenna
optionC,vertical ground-plane antenna
optionD,random length of wire
correctOption,C
explanation,A vertical ground-plane antenna is correct because polarization must match; VHF FM mobile communication uses vertical polarization. Memory Trick: “Vertical talks to vertical.”
BankQuestionID,B-006-007-008
,
question,A dipole antenna will emit a vertically polarized wave if it is:
optionA,mounted horizontally
optionB,too near to the ground
optionC,very high above ground
optionD,mounted vertically
correctOption,D
explanation,Mounted vertically is correct because the antenna’s polarization follows its orientation. Memory Trick: “Antenna stands up → polarization stands up.”
BankQuestionID,B-006-007-009
,
question,"If an electromagnetic wave leaves an antenna vertically polarized and reaches the receiving location by ground wave, what will be its final polarization?"
optionA,Vertical
optionB,Oblique
optionC,Horizontal
optionD,Circular
correctOption,A
explanation,Vertical is correct because ground-wave propagation preserves polarization. Memory Trick: “Ground wave keeps things as they began.”
BankQuestionID,B-006-007-010
,
question,"Compared with a horizontal antenna, a vertical antenna will receive a vertically polarized radio wave:"
optionA,at a strength depending on the height above ground
optionB,at higher strength
optionC,at lower strength
optionD,at about the same strength
correctOption,B
explanation,At higher strength is correct because maximum signal transfer occurs when transmit and receive polarizations match. Memory Trick: “Match = maximum.”
BankQuestionID,B-006-007-011
,
question,A wire dipole has a resonant frequency of 3900 kHz. How can you change its resonant frequency to 3600 kHz?
optionA,Install it as a sloper
optionB,Use smaller diameter wire
optionC,Make it longer
optionD,Make it shorter
correctOption,C
explanation,Make it longer is correct because a longer antenna resonates at a lower frequency. Memory Trick: “Longer wire = lower choir.”
BankQuestionID,B-006-008-001
,
question,A wire dipole has a resonant frequency of 3600 kHz. How can you change its resonant frequency to 3900 kHz?
optionA,Make it longer
optionB,Install it as a sloper
optionC,Use larger diameter wire
optionD,Make it shorter
correctOption,D
explanation,Make it shorter is correct because shortening the antenna raises its resonant frequency. Memory Trick: “Shorter wire = higher choir.”
BankQuestionID,B-006-008-002
,
question,What is the wavelength in free space of a 25 MHz signal?
optionA,12 metres
optionB,19 metres
optionC,39 metres
optionD,6 metres
correctOption,A
explanation,12 metres is correct using λ = 300 / f(MHz). Memory Trick: Think “300 rule”: 300 / 25 ≈ 12.
BankQuestionID,B-006-008-003
,
question,The velocity of propagation of radio frequency energy in free space is:
optionA,186 000 kilometres per second
optionB,300 000 kilometres per second
optionC,200 000 kilometres per second
optionD,150 000 kilometres per second
correctOption,B
explanation,"300 000 km/s is the speed of light, which is also the speed of RF in free space. Memory Trick: RF rides on light-speed rails."
BankQuestionID,B-006-008-004
,
question,Adding a series inductance to an antenna would:
optionA,increase its useful bandwidth
optionB,reduce atmospheric noise pickup
optionC,decrease the resonant frequency
optionD,increase the resonant frequency
correctOption,C
explanation,Decrease the resonant frequency is correct because inductance makes the antenna behave electrically longer. Memory Trick: “Add L → lower f.”
BankQuestionID,B-006-008-005
,
question,The resonant frequency of an antenna may be increased by:
optionA,lowering the radiating element
optionB,increasing the height of the radiating element
optionC,lengthening the radiating element
optionD,shortening the radiating element
correctOption,D
explanation,Shortening the antenna raises its natural resonant frequency. Memory Trick: “Short = sharp (higher pitch).”
BankQuestionID,B-006-008-006
,
question,The speed of a radio wave:
optionA,is the same as the speed of light
optionB,is constant
optionC,is less than half the speed of light
optionD,varies depending on the frequency
correctOption,A
explanation,"RF waves in free space travel at the speed of light. Memory Trick: “RF *is* light, just invisible.”"
BankQuestionID,B-006-008-007
,
question,Why are insulators used at the ends of a suspended wire antenna?
optionA,To reduce capacitive coupling with the ground
optionB,To limit the electrical length of the antenna
optionC,To decrease the effective antenna length
optionD,To increase the antenna bandwidth
correctOption,B
explanation,To limit the electrical length is correct because the insulator prevents the wire from coupling electrically into the supporting structure. Memory Trick: “Insulators isolate the ends.”
BankQuestionID,B-006-008-008
,
question,"To lower the resonant frequency of an antenna, the operator should:"
optionA,use smaller diameter wire
optionB,lengthen the transmission line
optionC,lengthen it
optionD,shorten it
correctOption,C
explanation,Lengthen it is correct because a longer antenna resonates lower. Memory Trick: “Lower freq = longer wire.”
BankQuestionID,B-006-008-009
,
question,Some antennas are constructed with traps. What is a trap?
optionA,A large wire-wound resistor
optionB,A coil wrapped around a ferrite rod
optionC,A hollow metal can
optionD,A coil and capacitor in parallel
correctOption,D
explanation,A coil and capacitor in parallel is correct because a trap is a parallel LC circuit that blocks (resonates at) a specific frequency. Memory Trick: “Trap = tuned LC stop.”
BankQuestionID,B-006-008-010
,
question,What is the wavelength in free space of a 2 MHz signal?
optionA,150 metres
optionB,360 metres
optionC,1500 metres
optionD,30 metres
correctOption,A
explanation,150 metres is correct using λ = 300 / f(MHz). Memory Trick: 300 / 2 = 150.
BankQuestionID,B-006-008-011
,
question,How is a parasitic antenna element energized?
optionA,By inductive coupling from a wave trap
optionB,By induction or radiation from a driven element
optionC,By direct connection to a driven element
optionD,By direct connection to the transmission line
correctOption,B
explanation,By induction or radiation from a driven element is correct because parasitic elements re-radiate energy without being directly fed. Memory Trick: “Parasitic = passive but powered by proximity.”
BankQuestionID,B-006-009-001
,
question,How can the directivity of a half-wave dipole be increased?
optionA,By adding traps to the radiating element
optionB,By lengthening the radiating element
optionC,By adding one or more parasitic elements
optionD,By using a radiating element with a larger diameter
correctOption,C
explanation,"Adding parasitic elements forms a Yagi, increasing directional gain. Memory Trick: “Add neighbors → stronger beam.”"
BankQuestionID,B-006-009-002
,
question,"If a half-wave dipole is converted to a Yagi by adding a slightly shorter parasitic element, in what direction(s) does the radiation strength increase?"
optionA,From the new element towards the dipole
optionB,In both directions at right angles to the elements
optionC,In both directions parallel to the elements
optionD,From the dipole towards the new element
correctOption,D
explanation,Radiation increases toward the director (the shorter parasitic element). Memory Trick: “Shorter element = director → points the beam.”
BankQuestionID,B-006-009-003
,
question,"If a half-wave dipole is converted to a Yagi by adding a slightly longer element, in what direction(s) does the radiation strength increase?"
optionA,From the new element towards the dipole
optionB,From the dipole towards the new element
optionC,In both directions at right angles to the elements
optionD,In both directions parallel to the elements
correctOption,A
explanation,"From the new element towards the dipole is correct because the longer added element acts as a reflector, so the main lobe is directed from the reflector (new element) toward the driven element. Memory Trick: Think ""reflector behind, beam in front."""
BankQuestionID,B-006-009-004
,
question,"The property of an antenna that defines the range of frequencies to which it will respond, is called its:"
optionA,antenna aperture
optionB,bandwidth
optionC,front-to-back ratio
optionD,beamwidth
correctOption,B
explanation,"Bandwidth is correct because it is the frequency range over which the antenna performs acceptably (good match and pattern). Memory Trick: Bandwidth = ""band of usable width"" in frequency."
BankQuestionID,B-006-009-005
,
question,What is the approximate gain of a half-wave dipole in free space relative to an isotropic radiator?
optionA,3.0 dB
optionB,1.0 dB
optionC,2.1 dB
optionD,1.5 dB
correctOption,C
explanation,"2.1 dB is correct because a half-wave dipole concentrates energy broadside compared to an isotropic point source, giving about 2.1 dB of gain. Memory Trick: Remember ""dipole over iso"" ≈ 2 dB."
BankQuestionID,B-006-009-006
,
question,What is meant by antenna gain?
optionA,The ratio of the signal in the forward direction to the signal in the back direction
optionB,The ratio of the power radiated by an antenna compared to the transmitter power
optionC,The power amplifier gain minus the transmission line losses
optionD,The ratio of the radiated signal strength of an antenna to that of a reference antenna
correctOption,D
explanation,"The ratio of the radiated signal strength of an antenna to that of a reference antenna is correct because gain always compares an antenna to a standard (isotropic or dipole). Memory Trick: Gain is always ""this antenna vs reference antenna."""
BankQuestionID,B-006-009-007
,
question,What is meant by antenna bandwidth?
optionA,The frequency range over which the antenna may be expected to perform well
optionB,Antenna length divided by the number of elements
optionC,The angle between the half-power radiation points
optionD,The angle formed between two imaginary lines drawn through the ends of the elements
correctOption,A
explanation,"The frequency range over which the antenna may be expected to perform well is correct because bandwidth describes the useful frequency span for good SWR and pattern. Memory Trick: Bandwidth = ""how wide in frequency the antenna behaves nicely."""
BankQuestionID,B-006-009-008
,
question,"In free space, what is the radiation pattern of a half-wave dipole?"
optionA,Hemispherical radiation pattern
optionB,Maximum radiation broadside from the antenna
optionC,Maximum radiation from the ends of the antenna
optionD,Omnidirectional radiation pattern
correctOption,B
explanation,"Maximum radiation broadside from the antenna is correct because a dipole has nulls off the ends and strongest field at right angles. Memory Trick: Stand at the side of the dipole, not at the tip, to get max signal."
BankQuestionID,B-006-009-009
,
question,"The gain of an antenna, especially on VHF and above, is quoted in dBi. The ""i"" in this expression stands for:"
optionA,ionospheric
optionB,interpolated
optionC,isotropic
optionD,integral
correctOption,C
explanation,"Isotropic is correct because dBi means gain compared to an ideal isotropic (equal in all directions) radiator. Memory Trick: ""i"" = isotropic."
BankQuestionID,B-006-009-010
,
question,An antenna is said to have a gain of 4.1 dBi. How much gain is this over a half-wave dipole antenna?
optionA,4.1 dB
optionB,3.0 dB
optionC,1.1 dB
optionD,2.0 dB
correctOption,D
explanation,"2.0 dB is correct because a dipole has about 2.1 dBi, so 4.1 dBi − 2.1 dBi ≈ 2 dB more than a dipole. Memory Trick: Subtract ""dipole 2 dB"" from the dBi number to get gain over a dipole."
BankQuestionID,B-006-009-011
,
question,How do you calculate the approximate length in metres of a quarter-wavelength antenna for use on frequencies below 30 MHz?
optionA,Divide 71.3 by the operating frequency in MHz
optionB,Divide 468 by the operating frequency in MHz
optionC,Divide 300 by the operating frequency in MHz
optionD,Divide 143 by the operating frequency in MHz
correctOption,A
explanation,"Divide 71.3 by the operating frequency in MHz is correct because 71.3 is approximately 300 divided by 4, adjusted for practical factors, giving the quarter-wave length in metres. Memory Trick: For a quarter-wave in metres, use ""71.3 over f."""
BankQuestionID,B-006-010-001
,
question,"If you made a quarter-wavelength vertical antenna for 21.125 MHz, approximately how long would it be?"
optionA,6.77 metres
optionB,3.37 metres
optionC,3.55 metres
optionD,7.10 metres
correctOption,B
explanation,3.37 metres is correct using the quarter-wave formula: 71.3 / 21.125 ≈ 3.37 m. Memory Trick: Plug into L = 71.3 / f and round to two decimals.
BankQuestionID,B-006-010-002
,
question,"If you made a half-wavelength vertical antenna for 223 MHz, approximately how long would it be?"
optionA,105 cm
optionB,135 cm
optionC,67 cm
optionD,32 cm
correctOption,C
explanation,"67 cm is correct because a half-wave length is about 150 / f(MHz): 150 / 223 ≈ 0.67 m, i.e. 67 cm. Memory Trick: For half-wave in metres, use ""150 over f."""
BankQuestionID,B-006-010-003
,
question,Why is a five-eighths wavelength vertical antenna better than a quarter-wavelength vertical antenna for VHF or UHF mobile operations?
optionA,Because it has a high radiation angle
optionB,Because it does not require impedance matching
optionC,Because it can handle more power
optionD,Because it has more gain
